"","ID","Ecosystem","P","k","Max.Age","OC","Mud","d13C","SAR","temperature","nitratos","pH","phosphates","salinidade","water.velocity"
"2473","Sg_314","Seagrass",0.0188200789751341,0.0260246436673269,88,4.35372718216667,11.8948646875,-21.0079809638889,0.295454545454545,16.11286385,0.10586655,8.1054378,0.01719075,37.35945981,0.03135437
"2489","Sg_332","Seagrass",0.00250950590106823,0.0663133375998283,98,0.2144211915,NA,NA,0.163265306122449,1.96809707,5.46845725,8.14423718,0.44933089,32.84553395,0.00317654
"2491","Sg_334","Seagrass",0.00763002535527878,0.0626865391961317,98,2.441494928,NA,NA,0.142857142857143,27.91898384,0.15897633,8.04833377,0.00056759,34.69956924,0.04746156
"2656","Sg_505","Seagrass",0.00650330509903646,0.0194876393397014,99,1.54681818181818,NA,-17.3495454545455,0.238080808080808,10.29242221,1.62404273,8.09125017,0.01441803,19.67398692,0.05397804
"2727","Sm_010","Tidal Marsh",0.00334170400615704,0.0176703272227075,99,3.74723947466667,70.4944391933333,NA,0.23725140989899,18.30118931,0.37513132,8.06180769,0.06192583,35.74671584,0.04933661
"2741","Sm_027","Tidal Marsh",0.00193314885160078,0.00868632092778792,88,1.02205969528571,83.4631644642857,-22.5265,0.227184725909091,18.25806125,0.24594922,8.06421361,0.07362772,35.7997145,0.07538476
"2745","Sm_034","Tidal Marsh",0.0174413346175596,0.0171010432940972,88,5.19965714269231,87.0204874523077,NA,0.717679102840909,18.25806125,0.24594922,8.06421361,0.07362772,35.7997145,0.07538476
"2760","Sm_051","Tidal Marsh",0.00699759152360226,0.0204002312498178,89,1.574,NA,NA,0.224719101123595,23.10991106,3.51211342,8.0529287,0.00172027,35.38092341,0.00533029
"2769","Sm_064","Tidal Marsh",0.0202234260372505,0.0241367553002901,98,23.925,NA,NA,0.163265306122449,21.25339352,0.79335953,8.10865281,0.00221847,34.53442848,0.0363841
"2779","Sm_074","Tidal Marsh",0.0132097044639888,0.00593465214290089,95.81683293,16.8551212800769,NA,NA,0.19829501162787,11.91888425,0.10340566,8.04451898,0.13124941,31.78966192,0.02775872
"2786","Sm_081","Tidal Marsh",0.00418496159759888,0.00885586969224373,86.21341872,11.535,NA,NA,0.231982448868605,23.17716579,0.03047597,8.09880473,0.00573259,35.87503477,0.04887045
"2788","Sm_083","Tidal Marsh",0.00604729313094821,0.0147584362987864,85.85051217,20.9607272727273,NA,NA,0.302852008017322,23.6110367,2.67260441,8.0488855,0.0011853,34.87898856,0.00342725
"2799","Sm_094","Tidal Marsh",0.00866095824474845,0.0147452899071011,86,2.17714285714286,NA,NA,0.375659282093023,18.84218267,0.04658887,8.13658771,0.02962242,35.63126819,0.10653852
"2884","Sm_1073","Tidal Marsh",0.0212090856433352,0.0220954761465385,97.4845016,14.8107142857143,NA,-26.72,0.200700799295054,10.37557185,1.02655624,8.07322527,0.03863336,26.56183613,0.05732374
"2885","Sm_1074","Tidal Marsh",0.0210007811268669,0.0476662241850653,86.95203907,14.843,NA,-27.185,0.117352988373111,10.37557185,1.02655624,8.07322527,0.03863336,26.56183613,0.05732374
"2888","Sm_1077","Tidal Marsh",0.0182222092456355,0.0546935428657728,89.10363314,8.97833333333333,NA,-26.5175,0.170415221522358,10.37557185,1.02655624,8.07322527,0.03863336,26.56183613,0.05732374
"2895","Sm_1083","Tidal Marsh",0.0146645283770493,0.00537467832856032,93.66011219,12.8165833333333,36.0207760841667,-27.5775,0.2901474006872,10.34080656,1.61021967,8.08627129,0.01971869,20.36503394,0.08349188
"2899","Sm_1087","Tidal Marsh",0.0114367474587711,0.0227248484320267,96.95808752,6.51363636363636,NA,-27.5954545454545,0.152905806304625,10.41417298,1.13655391,8.09709878,0.01713312,16.51909387,0.01500118
"3182","Sm_441","Tidal Marsh",0.0113033969489986,0.00531057640701301,95.519,31.30196864875,NA,NA,0.232100419811765,10.45640203,1.46624861,8.06883808,0.44314,30.29015662,0.01232656
"3186","Sm_445","Tidal Marsh",0.0073500623153261,0.00754964675850187,87.764,13.5363627664167,NA,NA,0.210450754295611,10.6533736,1.39635297,8.06715826,0.44925323,30.18005556,0.02395193
"3241","Sm_501","Tidal Marsh",0.0130884690507502,0.0327141983739995,85,21.6323333333333,NA,-27.1464444444444,0.117647058823529,10.19249258,2.34195418,8.07108685,0.11342906,33.87151467,0.03496716
"3242","Sm_502","Tidal Marsh",0.00897026574119992,0.0167026036008308,93,14.1288,NA,-26.7744444444444,0.182795698924731,10.19249258,2.34195418,8.07108685,0.11342906,33.87151467,0.03496716
"3244","Sm_504","Tidal Marsh",0.00758827266153663,0.017904195830778,99,26.696875,NA,-27.795,0.0909090909090909,10.17290246,2.14812276,8.0766993,0.11806956,33.95269024,0.04089112
"3245","Sm_505","Tidal Marsh",0.0255003094456465,0.0234426779275753,89,9.12327272727273,NA,-26.213,0.359550561797753,10.52151233,2.30486657,8.09509739,0.15995547,32.71491002,0.0222004
"3352","Sm_614","Tidal Marsh",0.00392121480928473,0.00487263209062217,94.44444444,1.49432171666667,NA,NA,0.360000000016941,17.50650345,0.25020796,8.06293725,0.03603407,36.02555332,0.07551539
