"","Core","Ecosystem","Lat","Long"
"37325","Mg_ 1171","Mangrove",-0.632361,109.395389
"37330","Mg_ 1172","Mangrove",-0.632361,109.395389
"37335","Mg_ 1173","Mangrove",-0.663333,109.451889
"37340","Mg_ 1174","Mangrove",-0.663333,109.451889
"37345","Mg_ 1175","Mangrove",-0.663333,109.451889
"37350","Mg_ 1176","Mangrove",-0.663333,109.451889
"37355","Mg_ 1177","Mangrove",-0.663333,109.451889
"37360","Mg_ 1178","Mangrove",-0.663333,109.451889
"37365","Mg_ 1179","Mangrove",-0.669889,109.446722
"37370","Mg_ 1180","Mangrove",-0.669889,109.446722
"37375","Mg_ 1181","Mangrove",-0.669889,109.446722
"37380","Mg_ 1182","Mangrove",-0.669889,109.446722
"37385","Mg_ 1183","Mangrove",-0.669889,109.446722
"37390","Mg_ 1184","Mangrove",-0.669889,109.446722
"37395","Mg_ 1185","Mangrove",-0.668139,109.437694
"37400","Mg_ 1186","Mangrove",-0.668139,109.437694
"37405","Mg_ 1187","Mangrove",-0.668139,109.437694
"37410","Mg_ 1188","Mangrove",-0.668139,109.437694
"37415","Mg_ 1189","Mangrove",-0.668139,109.437694
"37420","Mg_ 1190","Mangrove",-0.668139,109.437694
"37425","Mg_ 1191","Mangrove",-0.67475,109.454194
"37430","Mg_ 1192","Mangrove",-0.67475,109.454194
"37435","Mg_ 1193","Mangrove",-0.67475,109.454194
"37440","Mg_ 1194","Mangrove",-0.67475,109.454194
"37445","Mg_ 1195","Mangrove",-0.67475,109.454194
"37450","Mg_ 1196","Mangrove",-0.67475,109.454194
"37455","Mg_ 1197","Mangrove",-0.671222,109.443694
"37460","Mg_ 1198","Mangrove",-0.671222,109.443694
"37465","Mg_ 1199","Mangrove",-0.671222,109.443694
"37470","Mg_ 1200","Mangrove",-0.671222,109.443694
"37475","Mg_ 1201","Mangrove",-0.671222,109.443694
"37480","Mg_ 1202","Mangrove",-0.671222,109.443694
"37485","Mg_ 1224","Mangrove",11.56017376,102.9978255
"37490","Mg_ 1225","Mangrove",11.560174,102.997826
"37495","Mg_ 1226","Mangrove",11.560174,102.997826
"37500","Mg_ 1227","Mangrove",11.560174,102.997826
"37505","Mg_ 1228","Mangrove",11.557254,103.041488
"37510","Mg_ 1229","Mangrove",11.58337,103.0378
"37515","Mg_ 1230","Mangrove",11.081461,100.685777
"37520","Mg_ 1231","Mangrove",11.55858057,103.0411301
"37525","Mg_ 1232","Mangrove",11.558581,103.04113
"37530","Mg_ 1233","Mangrove",11.558581,103.04113
"37535","Mg_ 1234","Mangrove",11.558581,103.04113
"37540","Mg_ 1235","Mangrove",11.559437,103.040739
"37545","Mg_ 1236","Mangrove",11.559437,103.040739
"37550","Mg_ 1237","Mangrove",11.559437,103.040739
"37555","Mg_ 1238","Mangrove",11.51655319,102.9872835
"37560","Mg_ 1239","Mangrove",11.516553,102.987284
"37565","Mg_ 1240","Mangrove",11.516553,102.987284
"37570","Mg_ 1241","Mangrove",11.516553,102.987284
"37575","Mg_ 1242","Mangrove",11.516553,102.987284
"37580","Mg_ 1243","Mangrove",11.51698344,102.9880686
"37585","Mg_ 1244","Mangrove",11.516983,102.988069
"37590","Mg_ 1245","Mangrove",11.516983,102.988069
"37595","Mg_ 1246","Mangrove",11.516983,102.988069
"37600","Mg_ 1247","Mangrove",11.516983,102.988069
"37605","Mg_ 1248","Mangrove",11.51807713,102.9893806
"37610","Mg_ 1249","Mangrove",11.518077,102.989381
"37615","Mg_ 1250","Mangrove",11.518077,102.989381
"37620","Mg_ 1251","Mangrove",11.518077,102.989381
"37625","Mg_ 1252","Mangrove",11.518077,102.989381
"37630","Mg_ 1253","Mangrove",11.582732,103.031859
"37635","Mg_ 1254","Mangrove",11.50395137,103.0305935
"37640","Mg_ 1255","Mangrove",11.503951,103.030594
"37645","Mg_ 1256","Mangrove",11.503951,103.030594
"37650","Mg_ 1257","Mangrove",11.503951,103.030594
"37655","Mg_ 1258","Mangrove",11.503951,103.030594
"37660","Mg_ 1259","Mangrove",11.55543198,102.9787844
"37665","Mg_ 1260","Mangrove",11.555432,102.978784
"37670","Mg_ 1261","Mangrove",11.555432,102.978784
"37675","Mg_ 1262","Mangrove",11.555432,102.978784
"37680","Mg_ 1263","Mangrove",11.555432,102.978784
"37685","Mg_ 1264","Mangrove",11.50543538,103.0056093
"37690","Mg_ 1265","Mangrove",11.505435,103.005609
"37695","Mg_ 1266","Mangrove",11.505435,103.005609
"37700","Mg_ 1267","Mangrove",11.505435,103.005609
"37705","Mg_ 1268","Mangrove",11.46520693,103.0637505
"37710","Mg_ 1269","Mangrove",11.465207,103.063751
"37715","Mg_ 1270","Mangrove",11.45125,103.08417
"37720","Mg_ 1271","Mangrove",11.555027,103.009027
"37725","Mg_ 1272","Mangrove",11.52963101,102.9819387
"37730","Mg_ 1273","Mangrove",11.529631,102.981939
"37735","Mg_ 1274","Mangrove",11.501393,103.061579
"37740","Mg_ 1275","Mangrove",11.47413,103.005023
"37745","Mg_ 1276","Mangrove",11.474705,103.0622104
"37750","Mg_ 1277","Mangrove",11.474705,103.06221
"37755","Mg_ 1278","Mangrove",11.450235,103.05928
"37760","Mg_ 1279","Mangrove",11.529737,103.03441
"37765","Mg_ 1280","Mangrove",11.443549,103.0898843
"37770","Mg_ 1281","Mangrove",11.583369,103.0378132
"37775","Mg_ 1282","Mangrove",11.583369,103.037813
"37780","Mg_ 1283","Mangrove",11.583369,103.037813
"37785","Mg_ 1284","Mangrove",11.583369,103.037813
"37790","Mg_ 1285","Mangrove",11.583369,103.037813
"37795","Mg_ 1286","Mangrove",11.47701,103.0378552
"37800","Mg_ 1287","Mangrove",11.47701,103.037855
"37805","Mg_ 1288","Mangrove",11.47701,103.037855
"37815","Mg_ 1290","Mangrove",11.45311,103.0188601
"37820","Mg_ 1291","Mangrove",11.45311,103.01886
"37825","Mg_ 1292","Mangrove",11.45311,103.01886
"37830","Mg_ 1293","Mangrove",11.45311,103.01886
"37835","Mg_ 1294","Mangrove",8.036226116,98.95338029
"37840","Mg_ 1295","Mangrove",8.036090463,98.95365257
"37845","Mg_ 1296","Mangrove",8.036009082,98.95390668
"37850","Mg_ 1297","Mangrove",8.035909599,98.95407005
"37855","Mg_ 1298","Mangrove",8.058024645,98.94381195
"37860","Mg_ 1299","Mangrove",8.058078935,98.943939
"37865","Mg_ 1300","Mangrove",8.058314147,98.94414771
"37870","Mg_ 1301","Mangrove",8.058305141,98.94443814
"37875","Mg_ 1302","Mangrove",8.069341319,98.94938306
"37880","Mg_ 1303","Mangrove",8.069513175,98.94931043
"37885","Mg_ 1304","Mangrove",8.069694074,98.94921965
"37890","Mg_ 1305","Mangrove",8.069856872,98.94904718
"37895","Mg_ 1306","Mangrove",8.041046344,98.94495779
"37900","Mg_ 1307","Mangrove",8.040937775,98.94479444
"37905","Mg_ 1308","Mangrove",8.040793022,98.94461296
"37910","Mg_ 1309","Mangrove",8.040774909,98.9444496
"37915","Mg_ 1310","Mangrove",8.043643229,98.95144638
"37920","Mg_ 1311","Mangrove",8.043760805,98.95131023
"37925","Mg_ 1312","Mangrove",8.043932624,98.95091997
"37930","Mg_ 1313","Mangrove",8.044023054,98.95071122
"37935","Mg_ 1314","Mangrove",8.057582088,98.94896704
"37940","Mg_ 1315","Mangrove",8.057744923,98.94909408
"37945","Mg_ 1316","Mangrove",8.057826342,98.94916667
"37950","Mg_ 1317","Mangrove",8.058142962,98.94938445
"37955","Mg_ 1318","Mangrove",8.043508061,98.95602041
"37960","Mg_ 1319","Mangrove",8.043480946,98.95622008
"37965","Mg_ 1320","Mangrove",8.04341767,98.9566194
"37970","Mg_ 1321","Mangrove",8.04333629,98.95690982
"37975","Mg_ 1322","Mangrove",8.31786,-82.4404
"37980","Mg_ 1323","Mangrove",8.31786,-82.4404
"37985","Mg_ 1324","Mangrove",8.31786,-82.4404
"37990","Mg_ 1325","Mangrove",8.31786,-82.4404
"37995","Mg_ 1326","Mangrove",8.31786,-82.4404
"38000","Mg_ 1327","Mangrove",8.31786,-82.4404
"38005","Mg_ 1328","Mangrove",9.96361305,-85.03930615
"38010","Mg_ 1329","Mangrove",9.963439461,-85.03945215
"38015","Mg_ 1330","Mangrove",9.963265871,-85.03959814
"38020","Mg_ 1331","Mangrove",9.963092282,-85.03974413
"38025","Mg_ 1332","Mangrove",9.962918692,-85.03989013
"38030","Mg_ 1333","Mangrove",9.962745102,-85.04003612
"38035","Mg_ 1334","Mangrove",8.27676,-82.3499
"38040","Mg_ 1335","Mangrove",8.27676,-82.3499
"38045","Mg_ 1336","Mangrove",8.27676,-82.3499
"38050","Mg_ 1337","Mangrove",8.27676,-82.3499
"38055","Mg_ 1338","Mangrove",8.27676,-82.3499
"38060","Mg_ 1339","Mangrove",8.30017,-82.4285
"38065","Mg_ 1340","Mangrove",8.30017,-82.4285
"38070","Mg_ 1341","Mangrove",8.30017,-82.4285
"38075","Mg_ 1342","Mangrove",8.30017,-82.4285
"38080","Mg_ 1343","Mangrove",8.30017,-82.4285
"38085","Mg_ 1344","Mangrove",8.30017,-82.4285
"38090","Mg_ 1356","Mangrove",25.362304,-81.108188
"38100","Mg_ 1357","Mangrove",25.365286,-81.08602
"38130","Mg_ 1358","Mangrove",25.378163,-81.033439
"38160","Mg_ 1360","Mangrove",22.527121,114.006983
"38165","Mg_ 1373","Mangrove",21.492697,109.762599
"38182","Mg_ 1374","Mangrove",21.4969,109.760594
"38199","Mg_ 1375","Mangrove",-18.798088,36.279556
"38205","Mg_ 1376","Mangrove",-18.798088,36.279556
"38211","Mg_ 1377","Mangrove",-18.798088,36.279556
"38217","Mg_ 1378","Mangrove",-18.824673,36.194916
"38223","Mg_ 1379","Mangrove",-18.824673,36.194916
"38229","Mg_ 1388","Mangrove",8.709533333,104.8208639
"38255","Mg_ 1389","Mangrove",8.709063889,104.8205389
"38280","Mg_ 1390","Mangrove",8.708552778,104.8201083
"38306","Mg_ 1396","Mangrove",22.5317972,113.9850889
"38311","Mg_ 1397","Mangrove",22.5317972,113.9850889
"38316","Mg_ 1398","Mangrove",22.5281944,114.0018972
"38321","Mg_ 1415","Mangrove",-34.017388,151.151084
"38326","Mg_ 1416","Mangrove",-34.017179,151.150425
"38332","Mg_ 1417","Mangrove",-34.018197,151.152118
"38337","Mg_ 1418","Mangrove",-34.018014,151.152284
"38344","Mg_ 1419","Mangrove",-34.017396,151.15221
"38349","Mg_ 1420","Mangrove",-34.019499,151.149488
"38354","Mg_ 1421","Mangrove",-34.019882,151.15011
"38360","Mg_ 1422","Mangrove",-34.020201,151.152524
"38367","Mg_ 1423","Mangrove",-34.021042,151.151427
"38374","Mg_ 1424","Mangrove",-34.020932,151.151121
"38381","Mg_ 1425","Mangrove",-33.98323,151.009012
"38388","Mg_ 1426","Mangrove",-33.98335,151.008662
"38395","Mg_ 1427","Mangrove",-33.98309,151.008512
"38402","Mg_ 1428","Mangrove",-33.9848,151.008282
"38408","Mg_ 1429","Mangrove",-33.98443,151.008642
"38414","Mg_ 1430","Mangrove",-33.98416,151.008602
"38421","Mg_ 1431","Mangrove",-33.98414,151.009322
"38427","Mg_ 1432","Mangrove",-33.98405,151.009052
"38434","Mg_ 1433","Mangrove",-33.983964,151.008804
"38441","Mg_ 1434","Mangrove",-33.98453,151.010182
"38448","Mg_ 1435","Mangrove",-33.98449,151.009732
"38455","Mg_ 1436","Mangrove",-33.98402,151.009472
"38462","Mg_ 1437","Mangrove",10.40178,106.876838
"38468","Mg_ 1438","Mangrove",10.401772,106.879812
"38474","Mg_ 1439","Mangrove",10.402675,106.883761
"38480","Mg_ 1446","Mangrove",10.14305195,-85.07767206
"38485","Mg_ 1447","Mangrove",10.16559049,-85.14657557
"38490","Mg_ 1448","Mangrove",10.13402766,-85.24456028
"38495","Mg_ 1449","Mangrove",9.98592079,-84.81743661
"38500","Mg_ 1450","Mangrove",10.00047152,-84.85550677
"38505","Mg_ 1451","Mangrove",10.10631377,-85.14943931
"38510","Mg_ 1452","Mangrove",10.10090134,-85.12775331
"38515","Mg_ 1453","Mangrove",10.08447159,-85.20061074
"38520","Mg_ 1454","Mangrove",10.06552778,-85.18700408
"38525","Mg_ 1455","Mangrove",9.974631965,-85.11853433
"38530","Mg_ 1456","Mangrove",9.963786933,-85.03916044
"38535","Mg_ 1457","Mangrove",9.827680613,-84.92103989
"38540","Mg_ 1458","Mangrove",13.18720617,-88.3295247
"38545","Mg_ 1459","Mangrove",13.19933758,-88.33668578
"38550","Mg_ 1460","Mangrove",13.20256818,-88.32809721
"38555","Mg_ 1461","Mangrove",13.2493033,-88.77695248
"38560","Mg_ 1462","Mangrove",13.25380382,-88.78622157
"38565","Mg_ 1463","Mangrove",13.23565457,-88.44970083
"38570","Mg_ 1464","Mangrove",13.24832506,-88.47356
"38575","Mg_ 1465","Mangrove",13.23216275,-88.46892756
"38580","Mg_ 1466","Mangrove",13.24134956,-88.44592302
"38585","Mg_ 1467","Mangrove",13.21644845,-88.45841791
"38590","Mg_ 1468","Mangrove",13.2226727,-88.45277574
"38595","Mg_ 1469","Mangrove",13.19217184,-88.39703635
"38600","Mg_ 1470","Mangrove",13.24060294,-88.56942438
"38605","Mg_ 1471","Mangrove",13.22738367,-88.60431432
"38610","Mg_ 1472","Mangrove",13.26990876,-88.82964245
"38615","Mg_ 1473","Mangrove",13.3502415,-89.0081026
"38620","Mg_ 1474","Mangrove",13.33202583,-88.84683047
"38625","Mg_ 1475","Mangrove",13.29016346,-88.85589253
"38630","Mg_ 1476","Mangrove",13.30607234,-88.87329842
"38635","Mg_ 1477","Mangrove",13.30607622,-88.881051
"38640","Mg_ 1478","Mangrove",13.34229936,-88.89080801
"38645","Mg_ 1479","Mangrove",13.25974707,-88.82666933
"38650","Mg_ 1480","Mangrove",13.34421821,-88.92130555
"38655","Mg_ 1481","Mangrove",8.698698,104.843271
"38661","Mg_ 1482","Mangrove",8.704568,104.836063
"38667","Mg_ 1483","Mangrove",8.713702,104.827829
"38673","Mg_ 1485","Mangrove",25.288607,-80.315636
"38682","Mg_ 1486","Mangrove",-13.45218855,48.61236306
"38687","Mg_ 1487","Mangrove",-13.4633,48.6427
"38692","Mg_ 1488","Mangrove",-13.4631,48.6125
"38697","Mg_ 1489","Mangrove",-13.4655,48.6096
"38702","Mg_ 1490","Mangrove",-13.4588,48.5916
"38707","Mg_ 1491","Mangrove",-13.4575,48.5928
"38712","Mg_ 1492","Mangrove",-13.4601,48.593
"38717","Mg_ 1493","Mangrove",-13.4554,48.6456
"38722","Mg_ 1494","Mangrove",-13.5404,48.4871
"38727","Mg_ 1495","Mangrove",-13.5643,48.445
"38732","Mg_ 1496","Mangrove",-13.5485,48.4786
"38737","Mg_ 1497","Mangrove",-13.5486,48.484
"38742","Mg_ 1498","Mangrove",-13.5703,48.4797
"38747","Mg_ 1499","Mangrove",-13.5564,48.459
"38752","Mg_ 1500","Mangrove",-13.5592,48.4618
"38757","Mg_ 1501","Mangrove",-15.4759,47.11321
"38762","Mg_ 1502","Mangrove",-15.47816,47.10429
"38767","Mg_ 1503","Mangrove",-15.48044,47.09529
"38772","Mg_ 1504","Mangrove",-15.46076,47.10859
"38777","Mg_ 1505","Mangrove",-15.46176,47.09236
"38782","Mg_ 1506","Mangrove",-15.48486,47.04603
"38787","Mg_ 1507","Mangrove",-15.58611,46.93982
"38792","Mg_ 1508","Mangrove",-15.52792,47.03859
"38797","Mg_ 1509","Mangrove",-15.53327,47.0358
"38802","Mg_ 1510","Mangrove",-15.53659,46.99864
"38807","Mg_ 1511","Mangrove",-29.120667,153.427611
"38826","Mg_ 1512","Mangrove",-32.337861,152.488694
"38832","Mg_ 1513","Mangrove",-34.012128,151.150011
"38841","Mg_ 1514","Mangrove",-34.031122,151.137131
"38853","Mg_ 1515","Mangrove",-12.519661,130.906031
"38866","Mg_ 1516","Mangrove",-12.519636,130.905805
"38877","Mg_ 1517","Mangrove",-12.519602,130.905585
"38887","Mg_ 1518","Mangrove",-12.51958,130.905362
"38897","Mg_ 1519","Mangrove",-12.519519,130.905125
"38911","Mg_ 1520","Mangrove",-12.519453,130.904907
"38923","Mg_ 1521","Mangrove",-18.255161,146.272092
"38937","Mg_ 1522","Mangrove",-18.254936,146.272122
"38948","Mg_ 1523","Mangrove",-18.254717,146.272162
"38962","Mg_ 1524","Mangrove",-18.2545,146.27219
"38972","Mg_ 1525","Mangrove",-18.254299,146.272237
"38985","Mg_ 1526","Mangrove",-18.254071,146.272273
"38997","Mg_ 1527","Mangrove",-24.1906,151.876581
"39005","Mg_ 1528","Mangrove",-24.190545,151.876346
"39013","Mg_ 1529","Mangrove",-24.190472,151.876088
"39021","Mg_ 1530","Mangrove",-24.190422,151.875845
"39034","Mg_ 1531","Mangrove",-24.190361,151.875601
"39047","Mg_ 1532","Mangrove",-24.190284,151.875375
"39060","Mg_ 1533","Mangrove",-38.257169,144.487006
"39070","Mg_ 1534","Mangrove",-38.256943,144.487031
"39081","Mg_ 1535","Mangrove",-38.256721,144.487045
"39092","Mg_ 1536","Mangrove",-38.256051,144.487123
"39099","Mg_ 1537","Mangrove",-32.846236,151.7673
"39108","Mg_ 1538","Mangrove",-32.846255,151.767027
"39121","Mg_ 1539","Mangrove",-32.846255,151.766775
"39133","Mg_ 1540","Mangrove",-32.846257,151.766504
"39144","Mg_ 1541","Mangrove",-32.846272,151.766233
"39155","Mg_ 1542","Mangrove",-32.846283,151.765973
"39168","Mg_ 1543","Mangrove",-27.780285,153.376078
"39178","Mg_ 1544","Mangrove",-27.780057,153.376093
"39190","Mg_ 1545","Mangrove",-27.779836,153.376093
"39202","Mg_ 1546","Mangrove",-27.779609,153.376094
"39215","Mg_ 1547","Mangrove",-27.779382,153.376091
"39224","Mg_ 1548","Mangrove",-27.779152,153.376094
"39230","Mg_ 1549","Mangrove",-27.778931,153.376092
"39241","Mg_ 1550","Mangrove",-27.778708,153.376087
"39254","Mg_ 1551","Mangrove",-27.778504,153.376103
"39267","Mg_ 1552","Mangrove",-27.778269,153.376095
"39278","Mg_ 1553","Mangrove",-27.778039,153.37611
"39289","Mg_ 1554","Mangrove",-30.302814,153.128433
"39297","Mg_ 1555","Mangrove",-30.301872,153.128294
"39311","Mg_ 1556","Mangrove",-30.29865,153.124128
"39324","Mg_ 1557","Mangrove",-30.298778,153.123767
"39333","Mg_ 1558","Mangrove",-30.301008,153.133953
"39350","Mg_ 1559","Mangrove",-37.202308,175.862442
"39364","Mg_ 1560","Mangrove",-37.203636,175.862394
"39378","Mg_ 1591","Mangrove",-29.808893,31.040096
"39383","Mg_ 1592","Mangrove",-29.808775,31.040077
"39388","Mg_ 1593","Mangrove",-29.808644,31.040053
"39393","Mg_ 1594","Mangrove",-29.806815,31.041038
"39398","Mg_ 1595","Mangrove",-29.806807,31.040694
"39403","Mg_ 1596","Mangrove",-29.806822,31.040338
"39408","Mg_ 1597","Mangrove",0.564864,-80.002429
"39415","Mg_ 1598","Mangrove",0.565026,-79.999949
"39427","Mg_ 1599","Mangrove",0.564339,-80.001377
