Core;Core.ID;Location;Ecosystem;veg vs bare;Genus;Life form;lat;long;Bioregions (Short et al. 2007);Habitat.type;WD;Depth;Age Pb;Age.Pb.C;DBD;Corg;Corg M;d13C;Mud;;;
Sg_003;J;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15815325;115.6715521;Temperate Southern Oceans;coastal;4;7.7889;27;30;0.822842238;0.016934341;0.145476399;-12.74918775;1.284688;;;
Sg_003;J;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15815325;115.6715521;Temperate Southern Oceans;coastal;4;10.0143;44;43;0.776673428;0.013796478;0.176179081;-12.16464763;1.332061027;;;
Sg_003;J;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15815325;115.6715521;Temperate Southern Oceans;coastal;4;12.2397;53;56;0.817856765;0.023271639;0.227967785;;1.458283447;;;
Sg_003;J;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15815325;115.6715521;Temperate Southern Oceans;coastal;4;14.4651;62;68;0.877611599;0.026431645;0.286788768;;1.935973016;;;
Sg_003;J;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15815325;115.6715521;Temperate Southern Oceans;coastal;4;16.6905;72;74;0.771608063;0.015976967;0.322343911;-10.99556738;1.880685981;;;
Sg_003;J;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15815325;115.6715521;Temperate Southern Oceans;coastal;4;18.9159;82;86;0.914445887;0.017833721;0.362031074;-11.03042877;2.091839202;;;
Sg_003;J;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15815325;115.6715521;Temperate Southern Oceans;coastal;4;21.1413;97;101;0.87893537;0.008067055;0.379983499;-11.48801586;1.43751351;;;
Sg_003;J;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15815325;115.6715521;Temperate Southern Oceans;coastal;4;23.3667;107;115;1.048532881;0.005041536;0.391202932;-11.94560295;1.910518;;;
Sg_003;J;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15815325;115.6715521;Temperate Southern Oceans;coastal;4;25.5921;117;136;1.235035462;0.007526413;0.407952211;-11.77039994;1.966148;;;
Sg_003;J;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15815325;115.6715521;Temperate Southern Oceans;coastal;4;27.8175;127;150;1.042716119;0.014132734;0.439403196;-11.23694067;1.888934;;;
Sg_003;J;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15815325;115.6715521;Temperate Southern Oceans;coastal;4;30.0429;142;164;0.815311069;0.014251785;0.471119119;-10.9980887;4.61E-07;;;
Sg_003;J;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15815325;115.6715521;Temperate Southern Oceans;coastal;4;32.2683;152;184;1.062889313;0.007625819;0.488089616;-10.75923672;0;;;
Sg_003;J;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15815325;115.6715521;Temperate Southern Oceans;coastal;4;34.4937;162;199;1.065911422;0.009386675;0.508978723;-10.69279454;1.50796;;;
Sg_003;J;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15815325;115.6715521;Temperate Southern Oceans;coastal;4;36.7191;172;220;1.05781829;0.007567071;0.525818483;-10.97312755;1.534810985;;;
Sg_003;J;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15815325;115.6715521;Temperate Southern Oceans;coastal;4;38.9445;182;234;1.031268633;0.005672696;0.5384425;-11.25346057;1.586365;;;
Sg_003;J;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15815325;115.6715521;Temperate Southern Oceans;coastal;4;41.1699;197;248;1.140840625;0.006439943;0.552773949;-10.81234865;4.94E-07;;;
Sg_003;J;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15815325;115.6715521;Temperate Southern Oceans;coastal;4;43.3953;207;269;1.207078068;0.007845258;0.570232785;-11.54518473;1.439769;;;
Sg_003;J;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15815325;115.6715521;Temperate Southern Oceans;coastal;4;45.6207;217;291;1.105169418;0.00686266;0.585504948;-11.33257018;0;;;
Sg_003;J;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15815325;115.6715521;Temperate Southern Oceans;coastal;4;47.8461;227;305;1.177947408;0.004823811;0.596239857;-11.20631553;4.75E-07;;;
Sg_003;J;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15815325;115.6715521;Temperate Southern Oceans;coastal;4;50.0715;242;327;1.176456609;0.004620316;0.606521908;-12.49973631;;;;
Sg_003;J;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15815325;115.6715521;Temperate Southern Oceans;coastal;4;52.2969;252;341;1.197564976;0.005310528;0.618339957;-11.97339776;0;;;
Sg_003;J;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15815325;115.6715521;Temperate Southern Oceans;coastal;4;54.5223;263;362;1.060204427;0.005239066;0.629998975;-11.44705921;0;;;
Sg_003;J;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15815325;115.6715521;Temperate Southern Oceans;coastal;4;56.7477;273;377;1.050619365;0.00439757;0.639785327;-11.76105188;0;;;
Sg_003;J;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15815325;115.6715521;Temperate Southern Oceans;coastal;4;58.9731;283;398;1.241112497;0.005194915;0.651346091;-12.07504455;0;;;
Sg_003;J;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15815325;115.6715521;Temperate Southern Oceans;coastal;4;61.1985;298;419;1.180999618;0.005103099;0.662702528;-11.87860406;0;;;
Sg_003;J;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15815325;115.6715521;Temperate Southern Oceans;coastal;4;63.4239;308;440;1.338592206;0.004835396;0.673463219;-11.68216357;0;;;
Sg_003;J;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15815325;115.6715521;Temperate Southern Oceans;coastal;4;65.6493;318;461;1.480699003;0.005078535;0.684764991;-13.03800124;0;;;
Sg_003;J;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15815325;115.6715521;Temperate Southern Oceans;coastal;4;67.8747;328;483;1.236619506;0.003853723;0.693341066;-13.07371425;0;;;
Sg_003;J;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15815325;115.6715521;Temperate Southern Oceans;coastal;4;70.1001;343;497;1.323643256;0.004022429;0.702292579;-13.66966897;0;;;
Sg_003;J;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15815325;115.6715521;Temperate Southern Oceans;coastal;4;72.3255;353;519;1.256581088;0.002636977;0.708160908;-13.77420418;0;;;
Sg_003;J;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15815325;115.6715521;Temperate Southern Oceans;coastal;4;74.5509;363;540;1.274082071;0.003749163;0.716504295;-15.66934335;0;;;
Sg_003;J;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15815325;115.6715521;Temperate Southern Oceans;coastal;4;76.7763;374;563;0.964544593;0.001455419;0.719743186;-14.80130026;4.69E-07;;;
Sg_003;J;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15815325;115.6715521;Temperate Southern Oceans;coastal;4;78.88923951;384;578;0.964544593;0.005172475;0.730672313;-13.93325718;0;;;
Sg_004;K;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15823108;115.6726723;Temperate Southern Oceans;coastal;6;1.1429;0;0;0.583620115;0.008120178;0.009280552;-13.2401422;3.919102012;;;
Sg_004;K;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15823108;115.6726723;Temperate Southern Oceans;coastal;6;3.4287;7;6;0.511094476;0.003402293;0.017057513;-14.65301847;4.100233837;;;
Sg_004;K;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15823108;115.6726723;Temperate Southern Oceans;coastal;6;5.7145;13;20;0.897976943;0.014056573;0.049188027;-13.45888332;2.423518;;;
Sg_004;K;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15823108;115.6726723;Temperate Southern Oceans;coastal;6;8.0003;34;33;0.596073838;0.010305364;0.072744028;-13.08255507;3.215838339;;;
Sg_004;K;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15823108;115.6726723;Temperate Southern Oceans;coastal;6;10.2861;47;42;0.907249226;0.017724678;0.113259096;-11.28563976;2.568747496;;;
Sg_004;K;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15823108;115.6726723;Temperate Southern Oceans;coastal;6;12.5719;58;59;0.749029946;0.003247275;0.120681718;-14.94225582;3.379519858;;;
Sg_004;K;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15823108;115.6726723;Temperate Southern Oceans;coastal;6;14.8577;70;77;0.789367056;0.003898315;0.129592487;-13.51994401;1.722198027;;;
Sg_004;K;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15823108;115.6726723;Temperate Southern Oceans;coastal;6;17.1435;86;108;1.014904024;0.005360726;0.141846033;-12.09763221;;;;
Sg_004;K;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15823108;115.6726723;Temperate Southern Oceans;coastal;6;19.4293;96;128;1.065820214;0.004203743;0.151454949;-13.05757568;0;;;
Sg_004;K;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15823108;115.6726723;Temperate Southern Oceans;coastal;6;21.7151;107;162;1.179271405;0.002713146;0.157656659;-12.85751576;0;;;
Sg_004;K;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15823108;115.6726723;Temperate Southern Oceans;coastal;6;24.0009;122;184;1.01519802;0.003393052;0.165412497;-13.33926952;0;;;
Sg_004;K;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15823108;115.6726723;Temperate Southern Oceans;coastal;6;26.2867;132;217;1.377598982;0.003178062;0.172676912;-14.65605029;0;;;
Sg_004;K;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15823108;115.6726723;Temperate Southern Oceans;coastal;6;28.5725;142;251;1.437345894;0.002695863;0.178839115;-14.17177199;0;;;
Sg_004;K;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15823108;115.6726723;Temperate Southern Oceans;coastal;6;30.8583;152;284;1.446445491;0.002642769;0.184879956;-12.13962853;0;;;
Sg_004;K;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15823108;115.6726723;Temperate Southern Oceans;coastal;6;33.1441;167;317;1.120704548;0.000900478;0.186938268;-15.90078824;0;;;
Sg_004;K;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15823108;115.6726723;Temperate Southern Oceans;coastal;6;35.4299;177;351;1.444100545;0.000857887;0.188899226;-16.14651549;0;;;
Sg_004;K;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15823108;115.6726723;Temperate Southern Oceans;coastal;6;37.7157;187;384;1.224346616;0.001406119;0.192113333;-15.75835722;0;;;
Sg_004;K;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15823108;115.6726723;Temperate Southern Oceans;coastal;6;40.0015;202;416;1.275104604;0.000671835;0.193649013;-16.27024356;0;;;
Sg_004;K;Garden Island (Western Australia);Seagrass;Vegetated;Posidonia;Persistent;-32.15823108;115.6726723;Temperate Southern Oceans;coastal;6;42.2873;212;439;0.905986109;0.000690935;0.195228352;-16.54134628;0;;;
