"","Core","Depth","Acc.Mass","Age","Age.Pb","Age.C","Age1","Age.Pb1","Age.C1"
"139","Sg_588",60.96,1630.3,850,246,985,918,314,1053
"140","Sg_588",61.976,1660.9,869,253,1003,937,321,1071
"141","Sg_588",62.992,1694.5,888,259,1023,956,327,1091
"142","Sg_588",64.008,1732.1,911,267,1046,979,335,1114
"143","Sg_588",65.024,1765.7,932,274,1066,1000,342,1134
"144","Sg_588",66.04,1792.3,948,279,1081,1016,347,1149
"145","Sg_588",67.056,1827.9,970,287,1101,1038,355,1169
"146","Sg_588",68.072,1856.5,986,293,1117,1054,361,1185
"147","Sg_588",69.088,1886.1,1004,299,1134,1072,367,1202
"148","Sg_588",70.104,1915.7,1022,305,1151,1090,373,1219
"149","Sg_588",71.12,1942.3,1037,310,1166,1105,378,1234
"150","Sg_588",72.136,1970.9,1054,316,1183,1122,384,1251
"151","Sg_588",73.152,1998.5,1070,322,1199,1138,390,1267
"152","Sg_588",74.168,2031.1,1089,328,1219,1157,396,1287
"153","Sg_588",75.184,2073.7,1114,337,1244,1182,405,1312
"154","Sg_588",76.2,2109.3,1135,344,1265,1203,412,1333
"155","Sg_588",77.216,2143.9,1156,351,1285,1224,419,1353
"156","Sg_588",78.232,2184.5,1181,359,1308,1249,427,1376
"157","Sg_588",79.248,2219.1,1202,366,1328,1270,434,1396
"158","Sg_588",80.264,2251.7,1222,373,1347,1290,441,1415
"159","Sg_588",81.28,2286.3,1242,380,1367,1310,448,1435
"160","Sg_588",82.296,2327.9,1266,388,1391,1334,456,1459
"161","Sg_588",83.312,2371.5,1289,397,1414,1357,465,1482
"162","Sg_588",84.328,2411.1,1311,405,1435,1379,473,1503
"163","Sg_588",85.344,2443.7,1328,411,1452,1396,479,1520
"164","Sg_588",86.36,2479.3,1346,419,1470,1414,487,1538
"165","Sg_588",87.376,2515.9,1366,426,1489,1434,494,1557
"166","Sg_588",88.392,2552.5,1386,434,1507,1454,502,1575
"167","Sg_588",89.408,2598.1,1411,443,1532,1479,511,1600
"168","Sg_588",90.424,2632.7,1429,450,1550,1497,518,1618
"169","Sg_588",91.44,2661.3,1444,456,1564,1512,524,1632
"170","Sg_588",92.456,2698.9,1465,464,1583,1533,532,1651
"171","Sg_588",93.472,2728.5,1481,470,1598,1549,538,1666
"172","Sg_588",94.488,2763.1,1500,477,1617,1568,545,1685
"173","Sg_588",95.504,2798.7,1519,484,1636,1587,552,1704
"174","Sg_588",96.52,2826.3,1534,489,1649,1602,557,1717
"175","Sg_588",97.536,2860.9,1552,496,1667,1620,564,1735
"176","Sg_588",98.552,2898.5,1572,504,1687,1640,572,1755
"177","Sg_588",99.568,2941.1,1595,513,1709,1663,581,1777
"178","Sg_588",100.584,2971.7,1611,519,1725,1679,587,1793
"179","Sg_588",101.6,3001.3,1627,525,1740,1695,593,1808
"180","Sg_588",102.616,3035.9,1646,532,1758,1714,600,1826
"181","Sg_588",103.632,3074.5,1666,540,1777,1734,608,1845
"182","Sg_588",104.648,3120.1,1691,549,1801,1759,617,1869
"183","Sg_588",105.664,3157.7,1711,556,1821,1779,624,1889
"184","Sg_588",106.68,3184.3,1725,562,1834,1793,630,1902
"185","Sg_588",107.696,3224.9,1747,570,1855,1815,638,1923
"186","Sg_588",108.712,3254.5,1762,576,1870,1830,644,1938
"187","Sg_588",109.728,3288.1,1780,582,1888,1848,650,1956
"188","Sg_588",110.744,3319.7,1797,589,1904,1865,657,1972
"189","Sg_588",111.76,3349.3,1812,595,1919,1880,663,1987
"190","Sg_588",112.776,3382.9,1830,601,1936,1898,669,2004
"191","Sg_588",113.792,3416.5,1848,608,1953,1916,676,2021
"192","Sg_588",114.808,3448.1,1865,614,1969,1933,682,2037
"193","Sg_588",115.824,3482.7,1884,622,1987,1952,690,2055
"194","Sg_588",116.84,3523.3,1905,630,2007,1973,698,2075
"195","Sg_588",117.856,3555.9,1923,636,2024,1991,704,2092
"196","Sg_588",118.872,3600.5,1946,645,2046,2014,713,2114
"197","Sg_588",119.888,3634.1,1964,652,2063,2032,720,2131
"198","Sg_588",120.904,3671.7,1984,660,2082,2052,728,2150
"199","Sg_588",121.92,3704.3,2001,666,2099,2069,734,2167
"200","Sg_588",122.936,3741.9,2022,674,2118,2090,742,2186
"201","Sg_588",123.952,3778.5,2041,682,2137,2109,750,2205
"202","Sg_588",124.968,3814.1,2060,689,2156,2128,757,2224
"203","Sg_588",125.984,3849.7,2079,696,2175,2147,764,2243
"204","Sg_588",127,3896.3,2104,706,2198,2172,774,2266
"205","Sg_588",128.016,3923.9,2119,711,2212,2187,779,2280
"206","Sg_588",129.032,3962.5,2139,719,2232,2207,787,2300
"207","Sg_588",130.048,3995.1,2157,725,2249,2225,793,2317
"208","Sg_588",131.064,4026.7,2174,732,2265,2242,800,2333
"209","Sg_588",132.08,4054.3,2188,737,2279,2256,805,2347
"210","Sg_588",133.096,4098.9,2212,746,2302,2280,814,2370
