ID;Ecosystem;Lat;Long;nearest_long;nearest_lat;nitratos;pH;phosphates;temperature;water.velocity;salinidade
Mg_ 1057;Mangrove;16.182404;-88.65589;-88.67500301;16.17499973;0.02315305;8.05611346;0.00028691;28.67785645;28.6590858;0.08968442
Mg_ 1058;Mangrove;16.18248;-88.6557;-88.67500301;16.17499973;0.02315305;8.05611346;0.00028691;28.67785645;28.6590858;0.08968442
Mg_ 1059;Mangrove;-0.881216645;-48.01373291;-48.17500163;-0.824999986;3.25980799;7.71145594;0.0040355;28.84377618;28.839149;0.02989828
Mg_ 1060;Mangrove;-0.881733358;-48.01333237;-48.17500163;-0.824999986;3.25980799;7.71145594;0.0040355;28.84377618;28.839149;0.02989828
Mg_ 1061;Mangrove;-0.881933331;-48.01321793;-48.17500163;-0.824999986;3.25980799;7.71145594;0.0040355;28.84377618;28.839149;0.02989828
Mg_ 1062;Mangrove;-0.882099986;-48.01309967;-48.17500163;-0.824999986;3.25980799;7.71145594;0.0040355;28.84377618;28.839149;0.02989828
Mg_ 1063;Mangrove;-0.84133333;-46.6385994;-46.67500158;-0.874999985;0.71803522;8.02381965;0.00150458;28.50834331;28.50703925;0.216215
Mg_ 1064;Mangrove;-0.84133333;-46.6385994;-46.67500158;-0.874999985;0.71803522;8.02381965;0.00150458;28.50834331;28.50703925;0.216215
Mg_ 1065;Mangrove;-0.84133333;-46.6385994;-46.67500158;-0.874999985;0.71803522;8.02381965;0.00150458;28.50834331;28.50703925;0.216215
Mg_ 1066;Mangrove;-0.84133333;-46.6385994;-46.67500158;-0.874999985;0.71803522;8.02381965;0.00150458;28.50834331;28.50703925;0.216215
Mg_ 1067;Mangrove;-0.84133333;-46.6385994;-46.67500158;-0.874999985;0.71803522;8.02381965;0.00150458;28.50834331;28.50703925;0.216215
Mg_ 1068;Mangrove;-0.84133333;-46.6385994;-46.67500158;-0.874999985;0.71803522;8.02381965;0.00150458;28.50834331;28.50703925;0.216215
Mg_ 1078;Mangrove;16.936095;-88.244356;-88.22500299;16.92499971;0.00300984;8.05595558;0.00100815;28.36937647;28.37184645;0.01469627
Mg_ 1079;Mangrove;16.936059;-88.244569;-88.22500299;16.92499971;0.00300984;8.05595558;0.00100815;28.36937647;28.37184645;0.01469627
Mg_ 1080;Mangrove;16.935988;-88.244787;-88.22500299;16.92499971;0.00300984;8.05595558;0.00100815;28.36937647;28.37184645;0.01469627
Mg_ 1081;Mangrove;16.935951;-88.245024;-88.22500299;16.92499971;0.00300984;8.05595558;0.00100815;28.36937647;28.37184645;0.01469627
Mg_ 1082;Mangrove;16.935931;-88.245217;-88.22500299;16.92499971;0.00300984;8.05595558;0.00100815;28.36937647;28.37184645;0.01469627
Mg_ 1083;Mangrove;16.935956;-88.245422;-88.22500299;16.92499971;0.00300984;8.05595558;0.00100815;28.36937647;28.37184645;0.01469627
Mg_ 1084;Mangrove;16.938988;-88.242735;-88.22500299;16.92499971;0.00300984;8.05595558;0.00100815;28.36937647;28.37184645;0.01469627
Mg_ 1085;Mangrove;16.93908;-88.242891;-88.22500299;16.92499971;0.00300984;8.05595558;0.00100815;28.36937647;28.37184645;0.01469627
Mg_ 1086;Mangrove;16.939103;-88.243067;-88.22500299;16.92499971;0.00300984;8.05595558;0.00100815;28.36937647;28.37184645;0.01469627
Mg_ 1087;Mangrove;16.939055;-88.243254;-88.22500299;16.92499971;0.00300984;8.05595558;0.00100815;28.36937647;28.37184645;0.01469627
Mg_ 1088;Mangrove;16.939034;-88.243414;-88.22500299;16.92499971;0.00300984;8.05595558;0.00100815;28.36937647;28.37184645;0.01469627
Mg_ 1089;Mangrove;16.939019;-88.243595;-88.22500299;16.92499971;0.00300984;8.05595558;0.00100815;28.36937647;28.37184645;0.01469627
Mg_ 1090;Mangrove;27.58088333;-82.56366667;-82.5750028;27.62499953;1.02863723;8.0653739;0.00104507;24.64132852;24.61711048;0.00838888
Mg_ 1091;Mangrove;27.58068333;-82.56363333;-82.5750028;27.62499953;1.02863723;8.0653739;0.00104507;24.64132852;24.61711048;0.00838888
Mg_ 1092;Mangrove;27.58081667;-82.56346667;-82.5750028;27.62499953;1.02863723;8.0653739;0.00104507;24.64132852;24.61711048;0.00838888
