"","ID","Ecosystem","Av_C","SE_C","M_C","Av_Mud","SE_Mud","M_Mud","Av_13C","SE_13C","M_13C","Av_C_25","SE_C_25","M_C_25","Av_Mud_25","SE_Mud_25","M_Mud_25","Av_13C_25","SE_13C_25","M_13C_25"
"59","Mg_063","Mangrove",3.84,0.216707688424343,3.815,NA,NA,NA,NA,NA,NA,3.39,0.395137107006332,3.11,NA,NA,NA,NA,NA,NA
"60","Mg_064","Mangrove",4.011,0.196143088359267,4.07,NA,NA,NA,NA,NA,NA,3.64,0.378021163428716,3.51,NA,NA,NA,NA,NA,NA
"61","Mg_065","Mangrove",1.59,0.300942962480711,1.07,NA,NA,NA,NA,NA,NA,2.75,0.255799400572662,2.81,NA,NA,NA,NA,NA,NA
"62","Mg_066","Mangrove",2.87,0.57885354673823,3.4,NA,NA,NA,NA,NA,NA,4.09,0.499232744652565,3.81,NA,NA,NA,NA,NA,NA
"63","Mg_067","Mangrove",7.699,0.255340513389038,7.81,NA,NA,NA,NA,NA,NA,8.05,0.257164020293145,7.97,NA,NA,NA,NA,NA,NA
"64","Mg_068","Mangrove",9.393,1.31160296329847,7.65,NA,NA,NA,NA,NA,NA,14.8733333333333,0.334182252338118,14.95,NA,NA,NA,NA,NA,NA
"65","Mg_069","Mangrove",4.7725,0.656627612447551,4.52,NA,NA,NA,NA,NA,NA,6.73666666666667,0.251815629203414,6.7,NA,NA,NA,NA,NA,NA
"66","Mg_070","Mangrove",3.50875,0.624326601513297,2.705,NA,NA,NA,NA,NA,NA,5.04,1.14517829761716,6.15,NA,NA,NA,NA,NA,NA
"67","Mg_071","Mangrove",1.755,0.33507461855533,1.835,NA,NA,NA,NA,NA,NA,2.765,0.115,2.765,NA,NA,NA,NA,NA,NA
"68","Mg_072","Mangrove",2.286,0.565552237492995,2.01,NA,NA,NA,NA,NA,NA,2.31,1.03551919344839,3.08,NA,NA,NA,NA,NA,NA
"69","Mg_073","Mangrove",4.31444444444444,0.44267529833173,4.68,NA,NA,NA,NA,NA,NA,5.02,0.208806130178211,4.98,NA,NA,NA,NA,NA,NA
"70","Mg_074","Mangrove",5.561,0.558892655167341,5.475,NA,NA,NA,NA,NA,NA,5.14666666666667,1.22980124862155,5.75,NA,NA,NA,NA,NA,NA
"71","Mg_075","Mangrove",0.3214,0.0127224211532239,0.335,NA,NA,NA,NA,NA,NA,0.288,NA,0.288,NA,NA,NA,NA,NA,NA
"72","Mg_077","Mangrove",0.0331239072857143,0.00602795117255326,0.025185428,NA,NA,NA,NA,NA,NA,0.037652236,0.00763958822100115,0.029419639,NA,NA,NA,NA,NA,NA
"73","Mg_078","Mangrove",0.066699854125,0.019829536253002,0.046949097,NA,NA,NA,NA,NA,NA,0.093671308,0.0244840646653715,0.07896852,NA,NA,NA,NA,NA,NA
"74","Mg_079","Mangrove",0.127130825375,0.0277019772304979,0.137526326,NA,NA,NA,NA,NA,NA,0.1690300462,0.0251982152321907,0.166134281,NA,NA,NA,NA,NA,NA
"75","Mg_080","Mangrove",0.048953138375,0.0159817176636141,0.031306696,NA,NA,NA,NA,NA,NA,0.0665946952,0.0224556638456281,0.044066992,NA,NA,NA,NA,NA,NA
"76","Mg_081","Mangrove",0.05276387425,0.0179076774877637,0.0282569505,NA,NA,NA,NA,NA,NA,0.0737373206,0.0245496909615895,0.051064959,NA,NA,NA,NA,NA,NA
"77","Mg_082","Mangrove",0.0536758845714286,0.0248417700718723,0.017659212,NA,NA,NA,NA,NA,NA,0.0681011358,0.0333745611198872,0.03834017,NA,NA,NA,NA,NA,NA
